Asset,Drift,Volatility,Jump_Intensity,Jump_Mean,Jump_Std,Heston_Kappa,Heston_Theta,Uncertainty
BTC,8.071995398495346e-05,1.0232297427137382e-06,0.0001875299058156088,-0.00023765614605508745,0.010086585767567158,2.0,0.03999999910593033,1.0
ETH,-7.223353168228641e-05,1.0306578133167932e-06,9.999999747378752e-05,-0.0001242804282810539,0.010174933820962906,2.0,0.03999999910593033,1.0
SOL,7.1073453000281e-05,2.993142516061198e-06,0.000103335092717316,-0.00011728663230314851,0.010162591002881527,2.0,0.03999999910593033,1.0
DOGE,-7.161566463764757e-05,3.12528732138162e-06,9.999999747378752e-05,3.643472882686183e-05,0.010325823910534382,2.0,0.03999999910593033,1.0
BNB,-2.6407304176245816e-05,1.0434898740641074e-06,9.999999747378752e-05,0.00010256920359097421,0.010374898090958595,2.0,0.03999999910593033,1.0
XRP,9.671748557593673e-05,1.6774702089605853e-06,9.999999747378752e-05,-0.00014424057735595852,0.010282394476234913,2.0,0.03999999910593033,1.0
